Lote;Linea;Palma;Longitud;Latitud
62-LA CEIBA;1;1;-73.668255;3.8882857
62-LA CEIBA;1;2;-73.6682487;3.8882133
62-LA CEIBA;2;1;-73.6681765;3.888332
62-LA CEIBA;2;2;-73.6681682;3.8882361
62-LA CEIBA;3;1;-73.6680964;3.8883587
62-LA CEIBA;3;2;-73.6681007;3.8882952
62-LA CEIBA;3;3;-73.6680878;3.8882136
62-LA CEIBA;4;1;-73.6680445;3.8884165
62-LA CEIBA;4;2;-73.6680132;3.8883265
62-LA CEIBA;4;3;-73.6680061;3.8882444
62-LA CEIBA;4;4;-73.667992;3.8881727
62-LA CEIBA;4;5;-73.6679839;3.8880788
62-LA CEIBA;5;1;-73.6679892;3.8885258
62-LA CEIBA;5;2;-73.6679655;3.8884332
62-LA CEIBA;5;3;-73.6679486;3.8883282
62-LA CEIBA;5;4;-73.6679399;3.8882285
62-LA CEIBA;5;5;-73.66791;3.8881325
62-LA CEIBA;5;6;-73.667901;3.8880288
62-LA CEIBA;5;7;-73.6678766;3.8879285
62-LA CEIBA;5;8;-73.6678257;3.8874992
62-LA CEIBA;6;1;-73.6679273;3.8887401
62-LA CEIBA;6;2;-73.6679143;3.8886348
62-LA CEIBA;6;3;-73.6679006;3.8885453
62-LA CEIBA;6;4;-73.6678799;3.8884643
62-LA CEIBA;6;5;-73.6678707;3.8883587
62-LA CEIBA;6;6;-73.6678563;3.8882831
62-LA CEIBA;6;7;-73.6678448;3.8881954
62-LA CEIBA;6;8;-73.6678277;3.8880885
62-LA CEIBA;6;9;-73.6678173;3.8879908
62-LA CEIBA;6;10;-73.6677969;3.8879137
62-LA CEIBA;6;11;-73.6677882;3.887814
62-LA CEIBA;6;12;-73.6677703;3.8877426
62-LA CEIBA;6;13;-73.6677592;3.8876371
62-LA CEIBA;6;14;-73.6677515;3.8875491
62-LA CEIBA;6;15;-73.6677419;3.8874829
62-LA CEIBA;6;16;-73.667721;3.8873783
62-LA CEIBA;6;17;-73.6677124;3.8872785
62-LA CEIBA;7;1;-73.6678397;3.8887714
62-LA CEIBA;7;2;-73.6678395;3.8887005
62-LA CEIBA;7;3;-73.6678214;3.8886055
62-LA CEIBA;7;4;-73.6678127;3.8885274
62-LA CEIBA;7;5;-73.6677987;3.888434
62-LA CEIBA;7;6;-73.6677874;3.8883482
